address,property_type,prices,currency,contact
"8 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",house,4.05 crore,PKR,tel:+923344408989
"6 Marla House for Sale In I-14, Islamabad",house,3.3 crore,PKR,tel:+923325290429
"1 Kanal House for Sale In D-12/4, Islamabad",house,25 crore,PKR,tel:+923335074942
"1650 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,1.6 crore,PKR,tel:+923330912402
"792 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,85 lac,PKR,tel:+923330912402
"804 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,85 lac,PKR,tel:+923330912402
"1953 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,1.9 crore,PKR,tel:+923330912402
"1074 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,1.15 crore,PKR,tel:+923330912402
"2406 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,1.65 crore,PKR,tel:+923330912402
"804 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,90 lac,PKR,tel:+923330912402
"602 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,67 lac,PKR,tel:+923330912402
"5 Marla House for Sale In Bahria Enclave, Islamabad",house,2.65 crore,PKR,tel:+923335291569
"602 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",flat,75 lac,PKR,tel:+923330912402
"580 Ft² Flat for Sale In E-11, Islamabad",flat,60 lac,PKR,tel:+923165526087
"10 Marla House for Sale In Bahria Enclave, Islamabad",house,5.7 crore,PKR,tel:+923335291569
"5 Marla House for Sale In Bahria Enclave, Islamabad",house,3 crore,PKR,tel:+923335291569
"10 Marla House for Sale In G-15/1, Islamabad",house,5.5 crore,PKR,tel:+923355421115
"10 Marla House for Sale In G-15/1, Islamabad",house,5.6 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/4, Islamabad",house,4.2 crore,PKR,tel:+923355421115
"5 Marla House for Sale In G-15/4, Islamabad",house,3.85 crore,PKR,tel:+923355421115
"14 Marla House for Sale In G-15/2, Islamabad",house,6.7 crore,PKR,tel:+923355421115
"14 Marla House for Sale In G-15/2, Islamabad",house,6.8 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/2, Islamabad",house,4.5 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/2, Islamabad",house,4.4 crore,PKR,tel:+923355421115
"8 Marla house for sale In Bahria Enclave, Sector N, Islamabad",house,3.93 crore,PKR,tel:+923344408989
"10 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",house,4.9 crore,PKR,tel:+923344408989
"7 Marla House for Sale In G-13/2, Islamabad",house,7.1 crore,PKR,tel:+923346563365
"7 Marla House for Sale In G-13/2, Islamabad",house,6.9 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/4, Islamabad",house,10.75 crore,PKR,tel:+923315017056
"4 Marla House for Sale In G-13/4, Islamabad",house,3.5 crore,PKR,tel:+923315017056
