address,area,city,property_type,prices,currency,contact
"7 Marla House for Sale In I-11/2, Islamabad",In I-11/2,Islamabad,house,4.65 crore,PKR,tel:+923325290429
"5 Marla House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,1.95 crore,PKR,tel:+923465182764
"1 Kanal House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,3.5 crore,PKR,tel:+923465182764
"5 Marla House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,1.95 crore,PKR,tel:+923367090010
"7 Marla House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,3.4 crore,PKR,tel:+923367090010
"7 Marla House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,3.5 crore,PKR,tel:+923367090010
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,11 crore,PKR,tel:+923314455008
"PHA G11/3  2 bedrooms ground floor apartment is avilble for sale In G-11, Islamabad",In G-11,Islamabad,flat,1.9 crore,PKR,tel:+923315339214
"8 Marla house for sale In Bahria Enclave, Sector N, Islamabad",Sector N,Islamabad,house,3.69 crore,PKR,tel:+923344408989
"10 Marla House for Sale In TopCity-1 , Islamabad",In TopCity-1,Islamabad,house,3.65 crore,PKR,tel:+923008544488
"8 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",Sector B1,Islamabad,house,4.05 crore,PKR,tel:+923344408989
"6 Marla House for Sale In I-14, Islamabad",In I-14,Islamabad,house,3.3 crore,PKR,tel:+923325290429
"1 Kanal House for Sale In D-12/4, Islamabad",In D-12/4,Islamabad,house,25 crore,PKR,tel:+923335074942
"1650 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,1.6 crore,PKR,tel:+923330912402
"792 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,85 lac,PKR,tel:+923330912402
"804 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,85 lac,PKR,tel:+923330912402
"1953 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,1.9 crore,PKR,tel:+923330912402
"1074 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,1.15 crore,PKR,tel:+923330912402
"2406 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,1.65 crore,PKR,tel:+923330912402
"804 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,90 lac,PKR,tel:+923330912402
"602 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,67 lac,PKR,tel:+923330912402
"5 Marla House for Sale In Bahria Enclave, Islamabad",In Bahria Enclave,Islamabad,house,2.65 crore,PKR,tel:+923335291569
"602 sqft flat for sale In DHA Residency, DHA Phase 2, Islamabad",DHA Phase 2,Islamabad,flat,75 lac,PKR,tel:+923330912402
"580 Ft² Flat for Sale In E-11, Islamabad",In E-11,Islamabad,flat,60 lac,PKR,tel:+923165526087
"10 Marla House for Sale In Bahria Enclave, Islamabad",In Bahria Enclave,Islamabad,house,5.7 crore,PKR,tel:+923335291569
"5 Marla House for Sale In Bahria Enclave, Islamabad",In Bahria Enclave,Islamabad,house,3 crore,PKR,tel:+923335291569
"10 Marla House for Sale In G-15/1, Islamabad",In G-15/1,Islamabad,house,5.5 crore,PKR,tel:+923355421115
"10 Marla House for Sale In G-15/1, Islamabad",In G-15/1,Islamabad,house,5.6 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/4, Islamabad",In G-15/4,Islamabad,house,4.2 crore,PKR,tel:+923355421115
"5 Marla House for Sale In G-15/4, Islamabad",In G-15/4,Islamabad,house,3.85 crore,PKR,tel:+923355421115
"5 Marla House for Sale In G-15/4, Islamabad",In G-15/4,Islamabad,house,3.85 crore,PKR,tel:+923355421115
"14 Marla House for Sale In G-15/2, Islamabad",In G-15/2,Islamabad,house,6.7 crore,PKR,tel:+923355421115
"14 Marla House for Sale In G-15/2, Islamabad",In G-15/2,Islamabad,house,6.8 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/2, Islamabad",In G-15/2,Islamabad,house,4.5 crore,PKR,tel:+923355421115
"7 Marla House for Sale In G-15/2, Islamabad",In G-15/2,Islamabad,house,4.4 crore,PKR,tel:+923355421115
"8 Marla house for sale In Bahria Enclave, Sector N, Islamabad",Sector N,Islamabad,house,3.93 crore,PKR,tel:+923344408989
"10 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",Sector B1,Islamabad,house,4.9 crore,PKR,tel:+923344408989
"7 Marla House for Sale In G-13/2, Islamabad",In G-13/2,Islamabad,house,7.1 crore,PKR,tel:+923346563365
"7 Marla House for Sale In G-13/2, Islamabad",In G-13/2,Islamabad,house,6.9 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,10.75 crore,PKR,tel:+923315017056
"4 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,3.5 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,10.6 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,11 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/3, Islamabad",In G-13/3,Islamabad,house,10.85 crore,PKR,tel:+923315017056
"8 Marla house for sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,2.75 crore,PKR,tel:+923335204181
"14 Marla House for Sale In G-13/3, Islamabad",In G-13/3,Islamabad,house,10.5 crore,PKR,tel:+923315017056
"7 Marla house for sale In Bahria Enclave, Sector H, Islamabad",Sector H,Islamabad,house,2.84 crore,PKR,tel:+923344408989
"10 Marla House for Sale In G-13/3, Islamabad",In G-13/3,Islamabad,house,9.5 crore,PKR,tel:+923315017056
"14 Marla House for Sale In G-13/3, Islamabad",In G-13/3,Islamabad,house,10.9 crore,PKR,tel:+923315017056
"10 Marla House for Sale In G-13/3, Islamabad",In G-13/3,Islamabad,house,9.8 crore,PKR,tel:+923315017056
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,10.5 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,9.45 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,10 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8.75 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,9 crore,PKR,tel:+923338696320
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,9.5 crore,PKR,tel:+923338696320
"5 Marla house for sale In Ghouri Town, Islamabad",In Ghouri Town,Islamabad,house,1.15 crore,PKR,tel:+923094000960
"Beautiful twin 7 Marla house for sale In Soan Garden, Block C, Islamabad",Block C,Islamabad,house,2.6 crore,PKR,tel:+923328187407
"10 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",Sector B1,Islamabad,house,4.33 crore,PKR,tel:+923344408989
"10 Marla house for sale In Bahria Enclave, Sector C2, Islamabad",Sector C2,Islamabad,house,4.6 crore,PKR,tel:+923344408989
"5.5 Marla house for sale In Bahria Enclave, Sector B1, Islamabad",Sector B1,Islamabad,house,2.56 crore,PKR,tel:+923344408989
"3200 Sq. Ft. house for sale In PWD, Block D, Islamabad",Block D,Islamabad,house,4.9 crore,PKR,tel:+923261750160
"444 Yd² House for Sale In F-6/1, Islamabad",In F-6/1,Islamabad,house,23 crore,PKR,tel:+923335960755
"400 Ft² Flat for Sale In Bahria Enclave, Islamabad",In Bahria Enclave,Islamabad,flat,40 lac,PKR,tel:+923335291569
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8.85 crore,PKR,tel:+923344243334
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8 crore,PKR,tel:+923344243334
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,10 crore,PKR,tel:+923344243334
"12 Marla House for Sale In Soan Garden, Islamabad",In Soan Garden,Islamabad,house,4.5 crore,PKR,tel:+923321519158
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,11 crore,PKR,tel:+923344243334
"7 Marla House for Sale In Soan Garden, Block C, Islamabad",Block C,Islamabad,house,3.5 crore,PKR,tel:+923321519158
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8.5 crore,PKR,tel:+923344243334
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,11.5 crore,PKR,tel:+923344243334
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,8.85 crore,PKR,tel:+923344243334
"1 kanal house for sale In DHA Phase 2, Islamabad",In DHA Phase 2,Islamabad,house,9 crore,PKR,tel:+923344243334
"4 Marla House for Sale In D-12, Islamabad",In D-12,Islamabad,house,4.25 crore,PKR,tel:+923165526087
"4 Marla House for Sale In D-12, Islamabad",In D-12,Islamabad,house,4.2 crore,PKR,tel:+923165526087
"5 Marla House for Sale In D-12, Islamabad",In D-12,Islamabad,house,5.25 crore,PKR,tel:+923165526087
"5 Marla House for Sale In D-12/1, Islamabad",In D-12/1,Islamabad,house,5.5 crore,PKR,tel:+923165526087
"10 Marla House for Sale In D-12, Islamabad",In D-12,Islamabad,house,12.6 crore,PKR,tel:+923165526087
"8 Marla House for Sale In Bani Gala, Islamabad",In Bani Gala,Islamabad,house,3 crore,PKR,tel:+923465182764
"10 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,9.8 crore,PKR,tel:+923335242572
"10 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,9.6 crore,PKR,tel:+923335242572
"7 Marla House for Sale In G-13/4, Islamabad",In G-13/4,Islamabad,house,7.6 crore,PKR,tel:+923335242572
